start_formatted,text,pinyin,english
00:01:43:099,是的,shì de,Yes
00:01:43:766,剛從R&F的project briefing回來,gāng cóng R&F de project briefing huí lái,Just came back from R&F's project briefing
00:01:47:632,然後也去拍了一支二手房的影片,rán hòu yě qù pāi le yī zhī èr shǒu fáng de yǐng piàn,Then I also went to shoot a video about second-hand houses.
00:01:51:766,現在呢就有時間坐下來,xiàn zài ne jiù yǒu shí jiān zuò xià lái,Now I have time to sit down
00:01:54:066,跟你們去講解一下,gēn nǐ men qù jiǎng jiě yī xià,Let me explain it to you
00:01:55:533,我到底在這幾個月裡面發生什麼事情,wǒ dào dǐ zài zhè jǐ gè yuè lǐ miàn fā shēng shén me shì qíng,What happened to me in the past few months?
00:01:58:165,其實這支影片哦,qí shí zhè zhī yǐng piàn ó,Actually this video
00:01:59:799,就好像一開頭你們所看到的啦,jiù hǎo xiàng yī kāi tóu nǐ men suǒ kàn dào de la,Just like what you saw at the beginning
00:02:01:533,我是要跟你們講,wǒ shì yào gēn nǐ men jiǎng,I want to tell you
00:02:03:132,噢我回到馬來西亞兩三年過後,ō wǒ huí dào mǎ lái xī yà liǎng sān nián guò hòu,"Oh, two or three years after I returned to Malaysia"
00:02:06:599,Since Covid終於,Since Covid zhōng yú,Since Covid finally
00:02:08:032,可以重新返回職場,kě yǐ chóng xīn fǎn huí zhí chǎng,Can return to work
00:02:09:966,而且這次是重新的嘗試,ér qiě zhè cì shì chóng xīn de cháng shì,And this time it’s a new try
00:02:11:765,在馬來西亞工作的一個內容啦,zài mǎ lái xī yà gōng zuò de yī gè nèi róng la,An aspect of working in Malaysia
00:02:14:599,但是我萬萬沒有想到,dàn shì wǒ wàn wàn méi yǒu xiǎng dào,But I never expected
00:02:15:765,結果會變成這樣子,jié guǒ huì biàn chéng zhè yàng zi,The result will be like this
00:02:17:133,就是在短短的三四個月吧,jiù shì zài duǎn duǎn de sān sì gè yuè ba,Just in just three or four months
00:02:20:165,對，從10月16號,duì ， cóng 10 yuè 16 hào,"Yes, from October 16th"
00:02:21:633,然後一直到現在,rán hòu yì zhí dào xiàn zài,and then until now
00:02:22:665,那我現在的工作哦,nà wǒ xiàn zài de gōng zuò ó,Then what is my current job?
00:02:24:665,會比較專注在Property Agent這塊,huì bǐ jiào zhuān zhù zài Property Agent zhè kuài,Will focus more on Property Agent
00:02:27:866,2024年，我的最主要的目標就是,2024 nián ， wǒ de zuì zhǔ yào de mù biāo jiù shì,"In 2024, my main goal is"
00:02:31:032,專注在我的Property Career,zhuān zhù zài wǒ de Property Career,Focus on my Property Career
00:02:33:265,試試看,shì shì kàn,try it
00:02:33:932,這個...可能,zhè gè ... kě néng,This...possibly
00:02:35:532,以後再跟你們分享,yǐ hòu zài gēn nǐ men fēn xiǎng,I will share it with you later
00:02:36:599,今天這支影片,jīn tiān zhè zhī yǐng piàn,Today's video
00:02:37:332,我是要跟你們分享,wǒ shì yào gēn nǐ men fēn xiǎng,I want to share it with you
00:02:38:432,這整個過程到底發生了什麼事情啦,zhè zhěng gè guò chéng dào dǐ fā shēng le shén me shì qíng la,What happened in this whole process?
00:02:41:233,就在這幾個月裡面,jiù zài zhè jǐ gè yuè lǐ miàn,Just in these few months
00:02:42:500,我就經歷了,wǒ jiù jīng lì le,I've experienced it
00:02:43:800,跟以往一樣咯,gēn yǐ wǎng yī yàng gē,Same as always
00:02:44:932,就職了過後,jiù zhí le guò hòu,After taking office
00:02:45:966,然後就發現一些東西,rán hòu jiù fā xiàn yī xiē dōng xī,Then I discovered something
00:02:48:165,然後又離職的這整個過程,rán hòu yòu lí zhí de zhè zhěng gè guò chéng,And then the whole process of resigning
00:02:50:633,但只是不一樣的點咧,dàn zhǐ shì bù yī yàng de diǎn liě,But it’s just different
00:02:52:066,就是這一次是在馬來西亞,jiù shì zhè yī cì shì zài mǎ lái xī yà,This time it’s in Malaysia
00:02:54:199,所以這個就是我想跟你們分享的東西啦,suǒ yǐ zhè gè jiù shì wǒ xiǎng gēn nǐ men fēn xiǎng de dōng xī la,So this is what I want to share with you
00:02:56:366,首先呢我要講的東西是,shǒu xiān ne wǒ yào jiǎng de dōng xī shì,"First of all, what I want to talk about is"
00:02:58:566,我竟然能夠在影片面前哦,wǒ jìng rán néng gòu zài yǐng piàn miàn qián ó,I can actually be in front of the video
00:03:01:800,跟你們去分享,gēn nǐ men qù fēn xiǎng,Share with you
00:03:02:699,就證明,jiù zhèng míng,Just prove it
00:03:03:466,我已經完成了這整個自我了解的process,wǒ yǐ jīng wán chéng le zhè zhěng gè zì wǒ liǎo jiě de process,I've gone through this whole process of self-understanding
00:03:07:265,因為其實很多事情哦,yīn wèi qí shí hěn duō shì qíng ó,Because actually there are many things
00:03:08:633,在你經歷的時候啦,zài nǐ jīng lì de shí hòu la,When you go through it
00:03:09:866,你要去自我消化,nǐ yào qù zì wǒ xiāo huà,You have to digest yourself
00:03:11:532,探索,tàn suǒ,explore
00:03:12:566,然後去理解在這整個過程裡面,rán hòu qù lǐ jiě zài zhè zhěng gè guò chéng lǐ miàn,Then understand the whole process
00:03:15:133,是什麼原因會造成這樣的事情發生,shì shén me yuán yīn huì zào chéng zhè yàng de shì qíng fā shēng,What causes this to happen?
00:03:17:966,再來就是間中所學到的東西到底是什麼,zài lái jiù shì jiān zhōng suǒ xué dào de dōng xī dào dǐ shì shén me,The next step is what exactly are the things I learned from time to time?
00:03:20:466,而現在我可以坐在這邊跟你們講呢,ér xiàn zài wǒ kě yǐ zuò zài zhè biān gēn nǐ men jiǎng ne,And now I can sit here and tell you
00:03:22:665,跟你們分享,gēn nǐ men fēn xiǎng,share with you
00:03:23:432,就是因為我已經完成了這個過程,jiù shì yīn wèi wǒ yǐ jīng wán chéng le zhè gè guò chéng,Just because I've gone through the process
00:03:25:400,可能有些人會講,kě néng yǒu xiē rén huì jiǎng,Maybe some people will say
00:03:26:366,誒，你在講廢話啦,éi ， nǐ zài jiǎng fèi huà la,"Hey, you're talking nonsense"
00:03:27:765,但是我在這裡願意分享,dàn shì wǒ zài zhè lǐ yuàn yì fēn xiǎng,But I am here to share
00:03:29:699,就好像我這個頻道一直以來的初衷,jiù hǎo xiàng wǒ zhè gè pín dào yì zhí yǐ lái de chū zhōng,Just like the original intention of my channel
00:03:33:032,我始終相信我講的這些東西哦,wǒ shǐ zhōng xiāng xìn wǒ jiǎng de zhè xiē dōng xī ó,I always believe in what I say
00:03:35:532,可能在某一些人的人生階段當中哦,kě néng zài mǒu yī xiē rén de rén shēng jiē duàn dāng zhōng ó,Maybe in some people’s life stages
00:03:38:800,可能會給到一點點啟發,kě néng huì gěi dào yī diǎn diǎn qǐ fā,Maybe it will give you a little inspiration
00:03:40:199,我覺得這個就是我要呈現的內容的藝術啦,wǒ jué dé zhè gè jiù shì wǒ yào chéng xiàn de nèi róng de yì shù la,I think this is the art of the content I want to present.
00:03:43:699,不管別人怎麼講,bù guǎn bié rén zěn me jiǎng,No matter what others say
00:03:44:932,我可以坐在這邊講,wǒ kě yǐ zuò zài zhè biān jiǎng,I can sit here and talk
00:03:46:066,就代表我已經有足夠心理準備,jiù dài biǎo wǒ yǐ jīng yǒu zú gòu xīn lǐ zhǔn bèi,It means I am mentally prepared enough
00:03:48:032,去迎接任何的command啦,qù yíng jiē rèn hé de command la,Go and greet any command.
00:03:51:099,今天來到Adda Height,jīn tiān lái dào Adda Height,Came to Adda Height today
00:03:53:066,來跟你們透露心聲,lái gēn nǐ men tòu lù xīn shēng,Let me tell you my feelings
00:03:56:300,那麼首先呢,nà me shǒu xiān ne,So first of all
00:03:57:532,我就來跟你們分享一下,wǒ jiù lái gēn nǐ men fēn xiǎng yī xià,Let me share it with you
00:03:59:366,為什麼我會在,wèi shén me wǒ huì zài,why am i there
00:04:01:566,就是Since Covid過後,jiù shì Since Covid guò hòu,Just since Covid
00:04:03:066,開放過後,kāi fàng guò hòu,After opening
00:04:03:966,回到來了兩三年過後噢,huí dào lái le liǎng sān nián guò hòu ō,I came back two or three years later.
00:04:05:966,為什麼我又要踏回職場,wèi shén me wǒ yòu yào tà huí zhí chǎng,Why do I have to go back to work?
00:04:07:733,先來跟你們講一下那個原因,xiān lái gēn nǐ men jiǎng yī xià nà gè yuán yīn,Let me tell you the reason first
00:04:09:566,那其實認識我的觀眾都懂,nà qí shí rèn shí wǒ de guān zhòng dōu dǒng,"In fact, viewers who know me will understand"
00:04:11:532,我從新加坡回來之前噢,wǒ cóng xīn jiā pō huí lái zhī qián ō,Before I came back from Singapore
00:04:14:532,就已經有在經營我的自媒體了的,jiù yǐ jīng yǒu zài jīng yíng wǒ de zì méi tǐ le de,There are people who are already running my self-media
00:04:16:932,而且回來過後啦,ér qiě huí lái guò hòu la,And after coming back
00:04:18:432,我還自己去Register了一間公司,wǒ hái zì jǐ qù Register le yī jiān gōng sī,I even registered a company by myself.
00:04:21:199,開了一個小小的studio,kāi le yī gè xiǎo xiǎo de studio,Opened a small studio
00:04:23:065,接業配,jiē yè pèi,Business matching
00:04:24:000,然後就靠,rán hòu jiù kào,Then just rely on
00:04:25:932,還有Facebook來支撐我的生活嘛,hái yǒu Facebook lái zhī chēng wǒ de shēng huó ma,I still have Facebook to support my life.
00:04:28:333,Covid期間噢,Covid qī jiān ō,During Covid
00:04:29:365,其實有很多創作者就是在那裡冒起的,qí shí yǒu hěn duō chuàng zuò zhě jiù shì zài nà lǐ mào qǐ de,"In fact, many creators emerged there"
00:04:32:600,我呢就屬於算是一個比較幸運的啦,wǒ ne jiù shǔ yú suàn shì yī gè bǐ jiào xìng yùn de la,I am one of the lucky ones
00:04:35:665,也是從那個時候就崛起了,yě shì cóng nà gè shí hòu jiù jué qǐ le,It also started to rise from that time.
00:04:37:665,成績雖然不是講很好,chéng jī suī rán bú shì jiǎng hěn hǎo,"Although the results are not very good,"
00:04:39:300,但是還過得去,dàn shì hái guò dé qù,But it's passable
00:04:40:733,可以透過YouTube平台啊,kě yǐ tòu guò YouTube píng tái a,It can be done through the YouTube platform
00:04:42:699,然後Facebook平台去賺錢,rán hòu Facebook píng tái qù zhuàn qián,Then the Facebook platform will make money
00:04:44:665,也是有廣告商來找我合作,yě shì yǒu guǎng gào shāng lái zhǎo wǒ hé zuò,There are also advertisers who come to me for cooperation.
00:04:47:899,生活費全部都可以從那邊獲取,shēng huó fèi quán bù dōu kě yǐ cóng nà biān huò qǔ,All living expenses can be obtained from there
00:04:51:165,但是呢就在開放過後啦,dàn shì ne jiù zài kāi fàng guò hòu la,But just after the opening
00:04:53:199,其實,qí shí,actually
00:04:53:800,很多創作者,hěn duō chuàng zuò zhě,many creators
00:04:55:065,不只是我一個而已,bù zhǐ shì wǒ yī gè ér yǐ,It's not just me
00:04:56:165,如果你也是創作者的話,rú guǒ nǐ yě shì chuàng zuò zhě de huà,If you are also a creator
00:04:57:199,你也是知道的,nǐ yě shì zhī dào de,You also know
00:04:58:033,疫情開放過後,yì qíng kāi fàng guò hòu,After the epidemic is over
00:04:59:000,我們所有的流量在YouTube噢,wǒ men suǒ yǒu de liú liàng zài YouTube ō,All our traffic is on YouTube
00:05:00:833,全部都已經開始drop了,quán bù dōu yǐ jīng kāi shǐ drop le,Everything has started to drop
00:05:02:500,不管你是大Youtuber啊,bù guǎn nǐ shì dà Youtuber a,No matter you are a big Youtuber
00:05:04:132,又或者像我這種,yòu huò zhě xiàng wǒ zhè zhǒng,Or maybe like me
00:05:05:165,呃,è,Well
00:05:05:733,微網紅都好,wēi wǎng hóng dōu hǎo,Micro-influencers are all good
00:05:07:233,還稱自己微網,hái chēng zì jǐ wēi wǎng,Also calls itself micronet
00:05:08:565,紅網 紅界,hóng wǎng   hóng jiè,red network red world
00:05:10:100,都發覺到了這一點,dōu fā jué dào le zhè yī diǎn,Everyone is aware of this
00:05:11:333,當然,dāng rán,Of course
00:05:11:966,就是因為這樣子的流量的問題,jiù shì yīn wèi zhè yàng zi de liú liàng de wèn tí,It’s because of this traffic problem
00:05:14:033,然後自然而然我們的收入也受影響啦,rán hòu zì rán ér rán wǒ men de shōu rù yě shòu yǐng xiǎng la,Then naturally our income is also affected.
00:05:16:800,那如果我自己是一個人的話還好,nà rú guǒ wǒ zì jǐ shì yī gè rén de huà hái hǎo,Then it would be okay if I was alone
00:05:19:000,但是我不是,dàn shì wǒ bú shì,but i'm not
00:05:20:100,因為我還有小番薯嘛,yīn wèi wǒ hái yǒu xiǎo fān shǔ ma,Because I still have small sweet potatoes
00:05:21:632,怎麼樣講身為一個爸爸都一定要負起一點責任,zěn me yàng jiǎng shēn wèi yī gè bà bà dōu yí dìng yào fù qǐ yī diǎn zé rèn,"How do you say that as a father, you must take some responsibility?"
00:05:24:833,所以那個時候開始,suǒ yǐ nà gè shí hòu kāi shǐ,So that's when it started
00:05:26:100,收入其實不是講很好,shōu rù qí shí bú shì jiǎng hěn hǎo,"In fact, the income is not very good."
00:05:28:365,就有了念頭,jiù yǒu le niàn tóu,Got an idea
00:05:29:165,是不是要重新的踏回職場,shì bú shì yào chóng xīn de tà huí zhí chǎng,Do you want to go back to work again?
00:05:30:932,所以我就開始找工了,suǒ yǐ wǒ jiù kāi shǐ zhǎo gōng le,So I started looking for a job
00:05:32:533,那時候又需要做多一個選擇就是哎,nà shí hòu yòu xū yào zuò duō yī gè xuǎn zé jiù shì āi,"At that time, I need to make one more choice."
00:05:34:766,我到底要回新加坡好嗞,wǒ dào dǐ yào huí xīn jiā pō hǎo zī,Do I want to go back to Singapore?
00:05:36:266,還是在馬來西亞好,hái shì zài mǎ lái xī yà hǎo,It’s better to be in Malaysia
00:05:37:432,那怎樣去定義在馬來西亞,nà zěn yàng qù dìng yì zài mǎ lái xī yà,So how to define it in Malaysia?
00:05:39:132,要多少才算是一個好的收入呢,yào duō shǎo cái suàn shì yī gè hǎo de shōu rù ne,How much is a good income?
00:05:41:733,其實哦,qí shí ó,Actually
00:05:42:266,因為本身是在加坡工作過的嘛,yīn wèi běn shēn shì zài jiā pō gōng zuò guò de ma,Because I have worked in Singapore
00:05:44:665,怎麼樣講,zěn me yàng jiǎng,How to tell
00:05:45:632,都一定會拿之前的薪水來作比較的,dōu yí dìng huì ná zhī qián de xīn shuǐ lái zuò bǐ jiào de,They will definitely compare their previous salaries.
00:05:48:300,但其實沒有得比的,dàn qí shí méi yǒu dé bǐ de,But there’s really nothing to compare with
00:05:49:699,總的來講哦,zǒng de lái jiǎng ó,Generally speaking
00:05:50:665,如果是單單要靠YouTube和業配的話啦,rú guǒ shì dān dān yào kào YouTube hé yè pèi de huà la,What if you just rely on YouTube and professional matching?
00:05:54:399,因為我不是大Youtuber嘛,yīn wèi wǒ bú shì dà Youtuber ma,Because I’m not a big Youtuber
00:05:55:699,生存是過得去的,shēng cún shì guò dé qù de,Survival is passable
00:05:57:132,靠YouTube靠業配的話,kào YouTube kào yè pèi de huà,If you rely on YouTube and professional support
00:05:58:899,生存是OK的,shēng cún shì OK de,Survival is OK
00:06:00:233,只是說如果要生活的話,zhǐ shì shuō rú guǒ yào shēng huó de huà,Just saying that if you want to live
00:06:02:165,就真的是要去接多一點業配,jiù zhēn de shì yào qù jiē duō yī diǎn yè pèi,I really want to pick up more job opportunities.
00:06:03:899,而如果接多一點業配的話,ér rú guǒ jiē duō yī diǎn yè pèi de huà,"And if you receive more karma,"
00:06:05:733,就會把自己的頻道搞到非常的商業化,jiù huì bǎ zì jǐ de pín dào gǎo dào fēi cháng de shāng yè huà,He will make his channel very commercialized
00:06:08:533,就好像我有拍一支影片去分享哎,jiù hǎo xiàng wǒ yǒu pāi yī zhī yǐng piàn qù fēn xiǎng āi,It’s like I made a video to share
00:06:11:966,為什麼有一些觀眾啊會講,wèi shén me yǒu yī xiē guān zhòng a huì jiǎng,Why do some viewers know how to talk?
00:06:13:333,噢，你的內容越來越多的業配,ō ， nǐ de nèi róng yuè lái yuè duō de yè pèi,"Oh, your content is getting more and more professional"
00:06:15:600,有一點反感之類的,yǒu yī diǎn fǎn gǎn zhī lèi de,A little disgusted or something like that
00:06:16:865,而我自己呢,ér wǒ zì jǐ ne,And myself
00:06:17:899,其實是比較在乎內容的人,qí shí shì bǐ jiào zài hū nèi róng de rén,"In fact, they are people who care more about content"
00:06:20:300,所以有時候,suǒ yǐ yǒu shí hòu,So sometimes
00:06:21:165,當我再去跟廠商接洽的時候,dāng wǒ zài qù gēn chǎng shāng jiē qià de shí hòu,When I go to contact the manufacturer again
00:06:23:100,我就有一點不願意,wǒ jiù yǒu yī diǎn bù yuàn yì,I'm a little reluctant
00:06:24:966,去捨棄掉自己內容的那一塊啦,qù shě qì diào zì jǐ nèi róng de nà yī kuài la,Go ahead and discard the part of your own content.
00:06:27:865,怎麼樣都有一個感覺講哦,zěn me yàng dōu yǒu yī gè gǎn jué jiǎng ó,"No matter what, I have a feeling."
00:06:29:432,這個是我的初衷,zhè gè shì wǒ de chū zhōng,This is my original intention
00:06:30:766,所以,suǒ yǐ,so
00:06:31:466,是不是我可以找一份,shì bú shì wǒ kě yǐ zhǎo yī fèn,Can I find one?
00:06:33:065,比較So called穩定啊,bǐ jiào So called wěn dìng a,So called stable.
00:06:35:233,在這個資本主義社會裡面,zài zhè gè zī běn zhǔ yì shè huì lǐ miàn,In this capitalist society
00:06:37:399,大家認為穩定的工作,dà jiā rèn wèi wěn dìng de gōng zuò,What everyone thinks is a stable job
00:06:39:665,就是拿一個死薪水,jiù shì ná yī gè sǐ xīn shuǐ,Just get a dead salary
00:06:41:132,然後再把內容創作這一塊,rán hòu zài bǎ nèi róng chuàng zuò zhè yī kuài,
00:06:42:766,當成是一個Side Income,dāng chéng shì yī gè Side Income,Treat it as a Side Income
00:06:44:565,成為一個輔助啦,chéng wèi yī gè fǔ zhù la,Become an assistant
00:06:45:800,就好像老高與小茉莉的那個頻道這樣子,jiù hǎo xiàng lǎo gāo yǔ xiǎo mò lì de nà gè pín dào zhè yàng zi,Just like the channel between Lao Gao and Little Jasmine
00:06:48:565,其實我是向他們看齊的,qí shí wǒ shì xiàng tā men kàn qí de,"In fact, I am following them"
00:06:50:199,所以就這樣子呢,suǒ yǐ jiù zhè yàng zi ne,So that's it
00:06:50:966,我就去嘗試找了工作,wǒ jiù qù cháng shì zhǎo le gōng zuò,I tried to find a job
00:06:52:600,而且,ér qiě,and
00:06:53:333,我為什麼會選擇在馬來西亞工作呢,wǒ wèi shén me huì xuǎn zé zài mǎ lái xī yà gōng zuò ne,Why did I choose to work in Malaysia?
00:06:55:699,是因為,shì yīn wèi,It's because
00:06:56:233,這個其實也是機緣巧合啦,zhè gè qí shí yě shì jī yuán qiǎo hé la,This is actually a coincidence.
00:06:57:966,就投了resume過後,jiù tóu le resume guò hòu,"After I submitted my resume,"
00:06:59:466,有一間,yǒu yī jiān,There is a room
00:07:00:266,其實我投的resume position噢,qí shí wǒ tóu de resume position ō,"Actually, I voted for resume position."
00:07:02:065,是跟我之前做內容創作的東西是很相似的,shì gēn wǒ zhī qián zuò nèi róng chuàng zuò de dōng xī shì hěn xiāng sì de,It’s very similar to what I used to do in content creation.
00:07:05:000,就是as一個content creator啦,jiù shì as yī gè content creator la,Just as a content creator
00:07:06:699,我會選它的原因是因為它非常靠近我的家,wǒ huì xuǎn tā de yuán yīn shì yīn wèi tā fēi cháng kào jìn wǒ de jiā,The reason I chose it is because it's very close to my home
00:07:10:466,這個是非常吸引我的一個東西,zhè gè shì fēi cháng xī yǐn wǒ de yī gè dōng xī,This is something that attracts me very much
00:07:12:399,我就想哎,wǒ jiù xiǎng āi,I just want to
00:07:12:899,Might as well就try一try啦,Might as well jiù try yī try la,Might as well just try it
00:07:14:333,工錢雖然也不會很高,gōng qián suī rán yě bù huì hěn gāo,"Although the wages are not very high,"
00:07:16:333,對我來講,duì wǒ lái jiǎng,for me
00:07:17:000,就去試試看,jiù qù shì shì kàn,Just go and give it a try
00:07:17:800,所以我就踏出了那一步,suǒ yǐ wǒ jiù tà chū le nà yī bù,So I took that step
00:07:19:000,這個就是開放過後,zhè gè jiù shì kāi fàng guò hòu,This is after the opening
00:07:20:899,什麼原因我會去想要找工,shén me yuán yīn wǒ huì qù xiǎng yào zhǎo gōng,Why would I want to find a job?
00:07:23:266,總結來講,zǒng jié lái jiǎng,To sum up
00:07:24:333,就是經濟這一塊啦,jiù shì jīng jì zhè yī kuài la,It's just the economy.
00:07:26:033,因為其實如果你要我回新加坡工作的話,yīn wèi qí shí rú guǒ nǐ yào wǒ huí xīn jiā pō gōng zuò de huà,Because actually if you want me to go back to Singapore to work
00:07:28:033,又要重新那個process,yòu yào chóng xīn nà gè process,We have to restart the process again
00:07:29:733,我就想試試別的,wǒ jiù xiǎng shì shì bié de,I just want to try something else
00:07:31:233,怎麼樣講在馬來西亞做工這個東西噢,zěn me yàng jiǎng zài mǎ lái xī yà zuò gōng zhè gè dōng xī ō,How do you talk about working in Malaysia?
00:07:33:865,我是還沒試過的,wǒ shì hái méi shì guò de,I haven't tried it yet
00:07:35:300,除了那幾個月的實習,chú le nà jǐ gè yuè de shí xí,Except for those few months of internship
00:07:37:065,就是大學過後4個月,jiù shì dà xué guò hòu 4 gè yuè,Just 4 months after college
00:07:38:800,就想說這個可能就是一個機會讓我去試一試不一樣的東西,jiù xiǎng shuō zhè gè kě néng jiù shì yī gè jī huì ràng wǒ qù shì yī shì bù yī yàng de dōng xī,I just want to say that this might be an opportunity for me to try something different.
00:07:42:632,我就決定了,wǒ jiù jué dìng le,I decided
00:07:43:600,就accept了那整個offer,jiù accept le nà zhěng gè offer,Just accepted the whole offer.
00:07:45:199,那當我抱著雀躍一試的那個心情哦,nà dāng wǒ bào zhù què yuè yī shì de nà gè xīn qíng ó,Then the feeling I had when I was so excited to give it a try
00:07:48:665,去開工啦,qù kāi gōng la,Go to work
00:07:49:665,結果又讓我發現到,jié guǒ yòu ràng wǒ fā xiàn dào,"As a result, I discovered again"
00:07:51:165,原來職場上哦,yuán lái zhí chǎng shàng ó,It turns out that in the workplace
00:07:52:500,不管你在哪一個國家啦,bù guǎn nǐ zài nǎ yī gè guó jiā la,No matter which country you are in
00:07:54:365,只要你遇到跟你理念有一點太相同,zhǐ yào nǐ yù dào gēn nǐ lǐ niàn yǒu yī diǎn tài xiāng tóng,As long as you meet someone who has the same ideas as you
00:07:58:199,又或者是你自己想要的工作環境的文化哦,yòu huò zhě shì nǐ zì jǐ xiǎng yào de gōng zuò huán jìng de wén huà ó,Or maybe it’s the culture of the work environment you want?
