start_formatted,mandarin_length,text,pinyin,english
00:07:38:800,25,就想說這個可能就是一個機會讓我去試一試不一樣的東西,jiù xiǎng shuō zhè gè kě néng jiù shì yī gè jī huì ràng wǒ qù shì yī shì bù yī yàng de dōng xī,I just want to say that this might be an opportunity for me to try something different.
00:12:42:166,20,你知道現在新加坡對馬來西亞的匯率是多少嗎,nǐ zhī dào xiàn zài xīn jiā pō duì mǎ lái xī yà de huì lǜ shì duō shǎo ma,Do you know what the exchange rate between Singapore and Malaysia is now?
00:05:21:632,20,怎麼樣講身為一個爸爸都一定要負起一點責任,zěn me yàng jiǎng shēn wèi yī gè bà bà dōu yí dìng yào fù qǐ yī diǎn zé rèn,"How do you say that as a father, you must take some responsibility?"
00:08:09:600,20,其實我沒有在講這個前公司的壞話還是什麼啊,qí shí wǒ méi yǒu zài jiǎng zhè gè qián gōng sī de huài huà hái shì shén me a,"Actually, I'm not talking bad about this former company or anything."
00:03:40:199,18,我覺得這個就是我要呈現的內容的藝術啦,wǒ jué dé zhè gè jiù shì wǒ yào chéng xiàn de nèi róng de yì shù la,I think this is the art of the content I want to present.
00:07:02:065,18,是跟我之前做內容創作的東西是很相似的,shì gēn wǒ zhī qián zuò nèi róng chuàng zuò de dōng xī shì hěn xiāng sì de,It’s very similar to what I used to do in content creation.
00:07:58:199,18,又或者是你自己想要的工作環境的文化哦,yòu huò zhě shì nǐ zì jǐ xiǎng yào de gōng zuò huán jìng de wén huà ó,Or maybe it’s the culture of the work environment you want?
00:09:22:466,18,然後你是沒有辦法可以省略掉這些東西的,rán hòu nǐ shì méi yǒu bàn fǎ kě yǐ shěng lüè diào zhè xiē dōng xī de,Then there is no way you can omit these things
00:07:06:699,18,我會選它的原因是因為它非常靠近我的家,wǒ huì xuǎn tā de yuán yīn shì yīn wèi tā fēi cháng kào jìn wǒ de jiā,The reason I chose it is because it's very close to my home
00:00:50:865,17,我也不知道這支影片會在什麼時候播出,wǒ yě bù zhī dào zhè zhī yǐng piàn huì zài shén me shí hòu bō chū,I don’t know when this video will be released
00:13:03:399,17,我就覺得對我來講是有一點講不過去啦,wǒ jiù jué dé duì wǒ lái jiǎng shì yǒu yī diǎn jiǎng bù guò qù la,I feel like it’s a bit unreasonable for me.
00:11:33:533,17,我有在我的新加坡就職系列裡面分享的,wǒ yǒu zài wǒ de xīn jiā pō jiù zhí xì liè lǐ miàn fēn xiǎng de,I have shared this in my Singapore job series
00:03:17:966,17,再來就是間中所學到的東西到底是什麼,zài lái jiù shì jiān zhōng suǒ xué dào de dōng xī dào dǐ shì shén me,The next step is what exactly are the things I learned from time to time?
00:12:13:466,17,這個也是依據我自己本身之前的經歷啦,zhè gè yě shì yī jù wǒ zì jǐ běn shēn zhī qián de jīng lì la,This is also based on my own previous experience.
00:02:54:199,17,所以這個就是我想跟你們分享的東西啦,suǒ yǐ zhè gè jiù shì wǒ xiǎng gēn nǐ men fēn xiǎng de dōng xī la,So this is what I want to share with you
00:06:45:800,17,就好像老高與小茉莉的那個頻道這樣子,jiù hǎo xiàng lǎo gāo yǔ xiǎo mò lì de nà gè pín dào zhè yàng zi,Just like the channel between Lao Gao and Little Jasmine
00:07:26:033,17,因為其實如果你要我回新加坡工作的話,yīn wèi qí shí rú guǒ nǐ yào wǒ huí xīn jiā pō gōng zuò de huà,Because actually if you want me to go back to Singapore to work
00:14:34:600,17,在這裡我就想跟大家再一次宣布多一次,zài zhè lǐ wǒ jiù xiǎng gēn dà jiā zài yí cì xuān bù duō yī cì,Here I just want to announce to you one more time
00:13:55:533,17,可是如果不同意的話就打一個“2”給我知道,kě shì rú guǒ bù tóng yì de huà jiù dǎ yī gè “2” gěi wǒ zhī dào,"But if you don't agree, just give me a ""2"""
00:17:02:066,17,所以在馬來西亞的內容創作圈子裡面噢,suǒ yǐ zài mǎ lái xī yà de nèi róng chuàng zuò quān zi lǐ miàn ō,So in the content creation circle in Malaysia
00:16:48:365,16,純粹分享我自己的觀點跟自己的意見,chún cuì fēn xiǎng wǒ zì jǐ de guān diǎn gēn zì jǐ de yì jiàn,I am purely sharing my own views and opinions
00:13:15:365,16,所以今年我還是決定會在這邊試一試,suǒ yǐ jīn nián wǒ hái shì jué dìng huì zài zhè biān shì yī shì,So this year I decided to give it a try here
00:01:55:533,16,我到底在這幾個月裡面發生什麼事情,wǒ dào dǐ zài zhè jǐ gè yuè lǐ miàn fā shēng shén me shì qíng,What happened to me in the past few months?
00:17:23:766,16,如果喜歡這支影片的話就給我一個「讚」,rú guǒ xǐ huān zhè zhī yǐng piàn de huà jiù gěi wǒ yī gè 「 zàn 」,"If you like this video, please give me a ""like"""
00:11:37:932,16,管理階層裡面會傳出很大很大的聲音,guǎn lǐ jiē céng lǐ miàn huì chuán chū hěn dà hěn dà de shēng yīn,"There will be loud, loud voices coming from the management"
00:16:32:666,16,從低爬到高的整個過程來的精彩的多,cóng dī pá dào gāo de zhěng gè guò chéng lái de jīng cǎi de duō,The whole process of climbing from low to high is much more exciting.
00:06:05:733,16,就會把自己的頻道搞到非常的商業化,jiù huì bǎ zì jǐ de pín dào gǎo dào fēi cháng de shāng yè huà,He will make his channel very commercialized
00:05:14:033,16,然後自然而然我們的收入也受影響啦,rán hòu zì rán ér rán wǒ men de shōu rù yě shòu yǐng xiǎng la,Then naturally our income is also affected.
00:11:06:500,16,給到你一件很難去完成的事情的時候,gěi dào nǐ yī jiàn hěn nán qù wán chéng de shì qíng de shí hòu,When you are given something difficult to accomplish
00:12:58:566,16,這樣子講可能有一些人會覺得很可笑,zhè yàng zi jiǎng kě néng yǒu yī xiē rén huì jué dé hěn kě xiào,Some people may find it ridiculous to put it this way.
